code,name,name_clean,name_search,scie,grup,food_category,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,water,ash,protein_percent,carbs_percent,fat_percent,fasat,fauns,fapu,cholc,ca,fe,mg,p,k,na,zn,vita,vitc,vitd,vite,thia,ribf,nia,vitb6c,folsum,fsugar,protein_density,fiber_density,search_keywords,tags,regn
A001,"Amaranth seed, black","amaranth seed, black",amaranth seed black,Amaranthus cruentus,Cereals and Millets,Grains,1490.0,14.59,59.98,5.74,7.02,9.89,2.78,18.2,74.7,7.1,1.28,3.312,2.279,0.0,0.181,0.009,0.325,0.374,0.433,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.98,0.47,amaranth seed black vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
A002,"Amaranth seed, pale brown","amaranth seed, pale brown",amaranth seed pale brown,Amaranthus cruentus,Cereals and Millets,Grains,1489.0,13.27,61.46,5.56,7.47,9.2,3.05,16.5,76.5,6.9,1.14,3.309,2.266,0.0,0.162,0.008,0.27,0.412,0.413,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.8,0.89,0.5,amaranth seed pale brown vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A003,Bajra,bajra,bajra,Pennisetum typhoideum,Cereals and Millets,Grains,1456.0,10.96,61.78,5.43,11.49,8.97,1.37,14.0,79.0,6.9,0.875,3.031,1.984,0.0,0.027,0.006,0.124,0.289,0.365,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.81,0.75,0.79,bajra vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A004,Barley,barley,barley,Hordeum vulgare,Cereals and Millets,Grains,1321.0,10.94,61.29,1.3,15.64,9.77,1.06,14.9,83.4,1.8,0.232,0.666,0.575,0.0,0.029,0.002,0.049,0.178,0.268,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.06,0.83,1.18,barley vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A005,Jowar,jowar,jowar,Sorghum vulgare,Cereals and Millets,Grains,1398.0,9.97,67.68,1.73,10.22,9.01,1.39,12.6,85.3,2.2,0.163,0.838,0.524,0.0,0.028,0.004,0.133,0.274,0.328,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,1.27,0.71,0.73,jowar vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A006,"Maize, dry","maize, dry",maize dry,Zea mays,Cereals and Millets,Grains,1398.0,8.8,64.77,3.77,12.24,9.26,1.17,11.4,83.7,4.9,0.413,2.312,1.606,0.0,0.009,0.002,0.145,0.279,0.291,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,1.66,0.63,0.88,maize dry vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A007,"Maize, tender, local","maize, tender, local",maize tender local,Zea mays,Cereals and Millets,Grains,502.0,3.57,22.69,1.4,3.67,68.29,0.38,12.9,82.0,5.1,0.109,0.494,0.347,0.0,0.006,0.001,0.048,0.163,0.167,0.002,0.001,0.0,0.004,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.47,0.71,0.73,maize tender local vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,6
A008,"Maize, tender, sweet","maize, tender, sweet",maize tender sweet,Zea mays,Cereals and Millets,Grains,405.0,4.16,16.42,1.35,3.3,74.4,0.36,19.0,74.9,6.2,0.123,0.476,0.3,0.0,0.006,0.001,0.037,0.121,0.297,0.002,0.001,0.0,0.006,0.0,0.0,0.0,0.0,0.001,0.0,0.0,4.67,1.03,0.81,maize tender sweet vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,4
A009,Quinoa,quinoa,quinoa,Chenopodium quinoa,Cereals and Millets,Grains,1374.0,13.11,53.65,5.5,14.66,10.43,2.65,18.1,74.2,7.6,0.57,3.83,2.406,0.0,0.198,0.008,0.119,0.212,0.474,0.004,0.003,0.0,0.0,0.0,0.002,0.001,0.0,0.002,0.0,0.0,1.41,0.95,1.07,quinoa vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,1
A010,Ragi,ragi,ragi,Eleusine coracana,Cereals and Millets,Grains,1342.0,7.16,66.82,1.92,11.18,10.89,2.04,9.4,88.0,2.5,0.317,1.016,0.431,0.0,0.364,0.005,0.146,0.21,0.443,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.34,0.53,0.83,ragi vegetarian eggetarian fishetarian veg,vegetarian eggetarian fishetarian veg,5
